老人ID,姓名,性别,年龄,所属社区,住址,联系电话,慢病标签,紧急联系人
E0001,老人E0001,男,78,朝阳社区,朝阳社区27号楼2单元285号,15295183838,高血压,紧急联系人赵
E0002,老人E0002,男,74,东城社区,东城社区10号楼5单元139号,13239521671,无,紧急联系人李
E0003,老人E0003,男,79,海淀社区,海淀社区7号楼4单元323号,19182562815,无,紧急联系人赵
E0004,老人E0004,女,85,丰台社区,丰台社区17号楼4单元284号,19635425944,高血压,紧急联系人王
E0005,老人E0005,男,73,朝阳社区,朝阳社区14号楼3单元595号,13666676417,无,紧急联系人王
E0006,老人E0006,男,73,西城社区,西城社区24号楼3单元527号,13818764494,无,紧急联系人张
E0007,老人E0007,男,86,朝阳社区,朝阳社区3号楼4单元278号,15983420081,高血压,紧急联系人刘
E0008,老人E0008,男,80,西城社区,西城社区12号楼5单元507号,17144786626,无,紧急联系人赵
E0009,老人E0009,女,71,东城社区,东城社区28号楼4单元528号,19621350704,糖尿病,紧急联系人张
E0010,老人E0010,女,78,海淀社区,海淀社区13号楼5单元394号,15123250723,糖尿病,紧急联系人刘
E0011,老人E0011,男,71,朝阳社区,朝阳社区2号楼3单元440号,17593976957,高血压,紧急联系人赵
E0012,老人E0012,男,71,石景山社区,石景山社区3号楼1单元251号,15146013251,糖尿病,紧急联系人李
E0013,老人E0013,男,76,丰台社区,丰台社区5号楼3单元484号,19205801293,高血压,紧急联系人赵
E0014,老人E0014,男,61,东城社区,东城社区11号楼3单元226号,13397444968,无,紧急联系人王
E0015,老人E0015,男,62,朝阳社区,朝阳社区8号楼2单元401号,13718064040,高血压,紧急联系人王
E0016,老人E0016,男,71,丰台社区,丰台社区26号楼2单元408号,17230146681,糖尿病,紧急联系人李
E0017,老人E0017,女,67,朝阳社区,朝阳社区23号楼2单元436号,18280179133,糖尿病+高血压,紧急联系人张
E0018,老人E0018,男,77,西城社区,西城社区23号楼2单元534号,17726268926,糖尿病,紧急联系人刘
E0019,老人E0019,女,68,朝阳社区,朝阳社区12号楼5单元334号,18410163209,糖尿病+高血压,紧急联系人赵
E0020,老人E0020,女,65,石景山社区,石景山社区7号楼4单元480号,15309225876,高血压,紧急联系人王
E0021,老人E0021,男,85,朝阳社区,朝阳社区15号楼1单元475号,15637874083,无,紧急联系人张
E0022,老人E0022,女,73,朝阳社区,朝阳社区24号楼3单元108号,19283919243,糖尿病+高血压,紧急联系人李
E0023,老人E0023,女,75,石景山社区,石景山社区17号楼5单元598号,18589440001,无,紧急联系人王
E0024,老人E0024,女,65,东城社区,东城社区4号楼1单元441号,19537578101,无,紧急联系人李
